symbol,status,rows,start_date,end_date,error
AAMI.TO,failed,0,,,no_data
AB.TO,failed,0,,,no_data
ABCB.TO,failed,0,,,no_data
ABEV.TO,failed,0,,,no_data
ABG.TO,failed,0,,,no_data
ACAD.TO,failed,0,,,no_data
ACFN.TO,failed,0,,,no_data
ACGL.TO,failed,0,,,no_data
ACGLO.TO,failed,0,,,no_data
ACN.TO,failed,0,,,no_data
ACNB.TO,failed,0,,,no_data
ACV.TO,failed,0,,,no_data
AD.UN.TO,failed,0,,,no_data
ADAM.TO,failed,0,,,no_data
ADMA.TO,failed,0,,,no_data
ADP.TO,failed,0,,,no_data
ADSK.TO,failed,0,,,no_data
ADT.TO,failed,0,,,no_data
ADX.TO,failed,0,,,no_data
AER.TO,failed,0,,,no_data
AFM.TO,failed,0,,,no_data
AGNC.TO,failed,0,,,no_data
AKR.TO,failed,0,,,no_data
ALLE.TO,failed,0,,,no_data
ALNY.TO,failed,0,,,no_data
AMH.TO,failed,0,,,no_data
AMP.TO,failed,0,,,no_data
AMPH.TO,failed,0,,,no_data
ANF.TO,failed,0,,,no_data
ANNA.TO,failed,0,,,no_data
AOD.TO,failed,0,,,no_data
AON.TO,failed,0,,,no_data
AP.UN.TO,failed,0,,,no_data
APAM.TO,failed,0,,,no_data
APP.TO,failed,0,,,no_data
APPF.TO,failed,0,,,no_data
AR.TO,failed,0,,,no_data
ARDT.TO,failed,0,,,no_data
ARLO.TO,failed,0,,,no_data
ARLP.TO,failed,0,,,no_data
ARTW.TO,failed,0,,,no_data
ASA.TO,failed,0,,,no_data
ASB.TO,failed,0,,,no_data
ASND.TO,failed,0,,,no_data
ATAT.TO,failed,0,,,no_data
ATEX.TO,failed,0,,,no_data
ATHM.TO,failed,0,,,no_data
ATLCP.TO,failed,0,,,no_data
ATLO.TO,failed,0,,,no_data
AU.TO,failed,0,,,no_data
AUGO.TO,failed,0,,,no_data
AVAL.TO,failed,0,,,no_data
AVB.TO,failed,0,,,no_data
AVK.TO,failed,0,,,no_data
AWI.TO,failed,0,,,no_data
AXIA.TO,failed,0,,,no_data
AXS.TO,failed,0,,,no_data
B.TO,failed,0,,,no_data
BAC.TO,failed,0,,,no_data
BANR.TO,failed,0,,,no_data
BANX.TO,failed,0,,,no_data
BAP.TO,failed,0,,,no_data
BBD.TO,failed,0,,,no_data
BBT.TO,failed,0,,,no_data
BBW.TO,failed,0,,,no_data
BBWI.TO,failed,0,,,no_data
BCAL.TO,failed,0,,,no_data
BCS.TO,failed,0,,,no_data
BCX.TO,failed,0,,,no_data
BFH.TO,failed,0,,,no_data
BFST.TO,failed,0,,,no_data
BHP.TO,failed,0,,,no_data
BHRB.TO,failed,0,,,no_data
BKE.TO,failed,0,,,no_data
BKV.TO,failed,0,,,no_data
BNL.TO,failed,0,,,no_data
BOE.TO,failed,0,,,no_data
BOH.TO,failed,0,,,no_data
BOKF.TO,failed,0,,,no_data
BOTJ.TO,failed,0,,,no_data
BOX.TO,failed,0,,,no_data
BRC.TO,failed,0,,,no_data
BSM.TO,failed,0,,,no_data
BSRR.TO,failed,0,,,no_data
BST.TO,failed,0,,,no_data
BSTZ.TO,failed,0,,,no_data
BTI.TO,failed,0,,,no_data
BUSE.TO,failed,0,,,no_data
BUSEP.TO,failed,0,,,no_data
BVN.TO,failed,0,,,no_data
BWB.TO,failed,0,,,no_data
BWFG.TO,failed,0,,,no_data
BWLP.TO,failed,0,,,no_data
BWMX.TO,failed,0,,,no_data
BY.TO,failed,0,,,no_data
BZ.TO,failed,0,,,no_data
CAF.TO,failed,0,,,no_data
CAG.TO,failed,0,,,no_data
CALM.TO,failed,0,,,no_data
CAR.UN.TO,failed,0,,,no_data
CARE.TO,failed,0,,,no_data
CARG.TO,failed,0,,,no_data
CART.TO,failed,0,,,no_data
CATY.TO,failed,0,,,no_data
CBNA.TO,failed,0,,,no_data
CBOE:CBOE.TO,failed,0,,,no_data
CCBG.TO,failed,0,,,no_data
CCNEP.TO,failed,0,,,no_data
CEE.TO,failed,0,,,no_data
CENTA.TO,failed,0,,,no_data
CEPU.TO,failed,0,,,no_data
CFFI.TO,failed,0,,,no_data
CGAU.TO,failed,0,,,no_data
CGEN.TO,failed,0,,,no_data
CHH.TO,failed,0,,,no_data
CHI.TO,failed,0,,,no_data
CHKP.TO,failed,0,,,no_data
CHRD.TO,failed,0,,,no_data
CHW.TO,failed,0,,,no_data
CHY.TO,failed,0,,,no_data
CIB.TO,failed,0,,,no_data
CIG.TO,failed,0,,,no_data
CII.TO,failed,0,,,no_data
CIVB.TO,failed,0,,,no_data
CL.TO,failed,0,,,no_data
