"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","GBP/CAD"
2456643,"2013/12/16","Mon",0.57968
2456644,"2013/12/17","Tue",0.57991
2456645,"2013/12/18","Wed",0.57326
2456646,"2013/12/19","Thu",0.57182
2456647,"2013/12/20","Fri",0.57251
2456650,"2013/12/23","Mon",0.57667
2456651,"2013/12/24","Tue",0.57527
2456654,"2013/12/27","Fri",0.56693
2456657,"2013/12/30","Mon",0.56893
2456658,"2013/12/31","Tue",0.56731
2456660,"2014/01/02","Thu",0.57208
2456661,"2014/01/03","Fri",0.57366
"(C) 2014 Prof. Werner Antweiler, UBC"
