"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","GBP/CAD"
2456286,"2012/12/24","Mon",0.62610
2456289,"2012/12/27","Thu",0.62410
2456290,"2012/12/28","Fri",0.62193
"(C) 2012 Prof. Werner Antweiler, UBC"
