"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","USD/CAD"
2455924,"2011/12/28","Wed",0.97713
2455925,"2011/12/29","Thu",0.97943
2455926,"2011/12/30","Fri",0.98328
"(C) 2011 Prof. Werner Antweiler, UBC"
