"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","EUR/CAD"
2456293,"2012/12/31","Mon",0.76231
2456295,"2013/01/02","Wed",0.76870
2456296,"2013/01/03","Thu",0.77417
2456297,"2013/01/04","Fri",0.77767
"(C) 2013 Prof. Werner Antweiler, UBC"
