"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","EUR/CAD"
2455743,"2011/06/30","Thu",0.71403
2455747,"2011/07/04","Mon",0.71752
2455748,"2011/07/05","Tue",0.71932
2455749,"2011/07/06","Wed",0.72265
2455750,"2011/07/07","Thu",0.72701
2455751,"2011/07/08","Fri",0.72892
2455754,"2011/07/11","Mon",0.73725
2455755,"2011/07/12","Tue",0.73812
2455756,"2011/07/13","Wed",0.73670
2455757,"2011/07/14","Thu",0.73567
2455758,"2011/07/15","Fri",0.74085
2455761,"2011/07/18","Mon",0.74074
2455762,"2011/07/19","Tue",0.74316
2455763,"2011/07/20","Wed",0.74360
2455764,"2011/07/21","Thu",0.73627
2455765,"2011/07/22","Fri",0.73260
2455768,"2011/07/25","Mon",0.73714
2455769,"2011/07/26","Tue",0.73014
2455770,"2011/07/27","Wed",0.73438
2455771,"2011/07/28","Thu",0.73725
2455772,"2011/07/29","Fri",0.72876
2455776,"2011/08/02","Tue",0.73351
2455777,"2011/08/03","Wed",0.72490
2455778,"2011/08/04","Thu",0.72317
2455779,"2011/08/05","Fri",0.71762
"(C) 2011 Prof. Werner Antweiler, UBC"
