"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","EUR/CAD"
2456013,"2012/03/26","Mon",0.75626
2456014,"2012/03/27","Tue",0.75529
2456015,"2012/03/28","Wed",0.75313
2456016,"2012/03/29","Thu",0.75398
2456017,"2012/03/30","Fri",0.75064
"(C) 2012 Prof. Werner Antweiler, UBC"
