"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","CHF/CAD"
2455118,"2009/10/13","Tue",0.99354
2455119,"2009/10/14","Wed",0.98853
2455120,"2009/10/15","Thu",0.98386
2455121,"2009/10/16","Fri",0.98058
2455124,"2009/10/19","Mon",0.98261
2455125,"2009/10/20","Tue",0.96628
2455126,"2009/10/21","Wed",0.96665
2455127,"2009/10/22","Thu",0.96052
2455128,"2009/10/23","Fri",0.95840
2455131,"2009/10/26","Mon",0.95484
2455132,"2009/10/27","Tue",0.95969
2455133,"2009/10/28","Wed",0.95075
2455134,"2009/10/29","Thu",0.95238
2455135,"2009/10/30","Fri",0.95048
2455138,"2009/11/02","Mon",0.94742
2455139,"2009/11/03","Tue",0.96293
2455140,"2009/11/04","Wed",0.95639
2455141,"2009/11/05","Thu",0.95493
2455142,"2009/11/06","Fri",0.94985
2455145,"2009/11/09","Mon",0.95383
2455146,"2009/11/10","Tue",0.95969
2455148,"2009/11/12","Thu",0.96637
2455149,"2009/11/13","Fri",0.96497
2455152,"2009/11/16","Mon",0.96330
2455153,"2009/11/17","Tue",0.96228
2455154,"2009/11/18","Wed",0.96006
2455155,"2009/11/19","Thu",0.95411
2455156,"2009/11/20","Fri",0.95166
2455159,"2009/11/23","Mon",0.95703
2455160,"2009/11/24","Tue",0.95347
2455161,"2009/11/25","Wed",0.95274
2455162,"2009/11/26","Thu",0.94823
2455163,"2009/11/27","Fri",0.94733
2455166,"2009/11/30","Mon",0.95048
2455167,"2009/12/01","Tue",0.95758
2455168,"2009/12/02","Wed",0.95639
2455169,"2009/12/03","Thu",0.94805
2455170,"2009/12/04","Fri",0.96386
"(C) 2009 Prof. Werner Antweiler, UBC"
