"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","CHF/CAD"
2455075,"2009/08/31","Mon",0.96386
2455076,"2009/09/01","Tue",0.96590
2455077,"2009/09/02","Wed",0.96052
2455078,"2009/09/03","Thu",0.96052
2455079,"2009/09/04","Fri",0.97475
2455083,"2009/09/08","Tue",0.97210
2455084,"2009/09/09","Wed",0.96469
2455085,"2009/09/10","Thu",0.96182
2455086,"2009/09/11","Fri",0.96525
2455089,"2009/09/14","Mon",0.95411
2455090,"2009/09/15","Tue",0.96404
2455091,"2009/09/16","Wed",0.96862
2455092,"2009/09/17","Thu",0.96956
2455093,"2009/09/18","Fri",0.95988
2455096,"2009/09/21","Mon",0.95740
2455097,"2009/09/22","Tue",0.95831
2455098,"2009/09/23","Wed",0.95676
2455099,"2009/09/24","Thu",0.94590
2455100,"2009/09/25","Fri",0.94180
2455103,"2009/09/28","Mon",0.94859
2455104,"2009/09/29","Tue",0.95529
2455105,"2009/09/30","Wed",0.96787
2455106,"2009/10/01","Thu",0.96749
"(C) 2009 Prof. Werner Antweiler, UBC"
