"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","JPY/CAD"
2455075,"2009/08/31","Mon",84.674
2455076,"2009/09/01","Tue",84.388
2455077,"2009/09/02","Wed",83.542
2455078,"2009/09/03","Thu",83.893
2455079,"2009/09/04","Fri",85.179
2455083,"2009/09/08","Tue",85.690
2455084,"2009/09/09","Wed",85.179
2455085,"2009/09/10","Thu",84.962
2455086,"2009/09/11","Fri",84.034
2455089,"2009/09/14","Mon",83.682
2455090,"2009/09/15","Tue",84.531
2455091,"2009/09/16","Wed",85.324
2455092,"2009/09/17","Thu",85.911
2455093,"2009/09/18","Fri",85.179
2455096,"2009/09/21","Mon",85.251
2455097,"2009/09/22","Tue",85.251
2455098,"2009/09/23","Wed",85.251
2455099,"2009/09/24","Thu",83.893
2455100,"2009/09/25","Fri",82.305
2455103,"2009/09/28","Mon",82.237
2455104,"2009/09/29","Tue",83.056
2455105,"2009/09/30","Wed",83.472
2455106,"2009/10/01","Thu",83.264
"(C) 2009 Prof. Werner Antweiler, UBC"
