"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","EUR/CAD"
2455924,"2011/12/28","Wed",0.75603
2455925,"2011/12/29","Thu",0.75620
2455926,"2011/12/30","Fri",0.75798
"(C) 2011 Prof. Werner Antweiler, UBC"
