"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","GBP/CAD"
2455075,"2009/08/31","Mon",0.55900
2455076,"2009/09/01","Tue",0.56076
2455077,"2009/09/02","Wed",0.55559
2455078,"2009/09/03","Thu",0.55423
2455079,"2009/09/04","Fri",0.56079
2455083,"2009/09/08","Tue",0.56268
2455084,"2009/09/09","Wed",0.55994
2455085,"2009/09/10","Thu",0.55556
2455086,"2009/09/11","Fri",0.55748
2455089,"2009/09/14","Mon",0.55534
2455090,"2009/09/15","Tue",0.56536
2455091,"2009/09/16","Wed",0.56838
2455092,"2009/09/17","Thu",0.57035
2455093,"2009/09/18","Fri",0.57330
2455096,"2009/09/21","Mon",0.57182
2455097,"2009/09/22","Tue",0.57149
2455098,"2009/09/23","Wed",0.56851
2455099,"2009/09/24","Thu",0.57267
2455100,"2009/09/25","Fri",0.57386
2455103,"2009/09/28","Mon",0.57874
2455104,"2009/09/29","Tue",0.57770
2455105,"2009/09/30","Wed",0.58282
2455106,"2009/10/01","Thu",0.58197
"(C) 2009 Prof. Werner Antweiler, UBC"
