"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","JPY/CAD"
2455118,"2009/10/13","Tue",87.108
2455119,"2009/10/14","Wed",86.881
2455120,"2009/10/15","Thu",87.719
2455121,"2009/10/16","Fri",87.336
2455124,"2009/10/19","Mon",88.028
2455125,"2009/10/20","Tue",86.505
2455126,"2009/10/21","Wed",87.413
2455127,"2009/10/22","Thu",87.184
2455128,"2009/10/23","Fri",87.413
2455131,"2009/10/26","Mon",86.655
2455132,"2009/10/27","Tue",86.430
2455133,"2009/10/28","Wed",84.674
2455134,"2009/10/29","Thu",85.397
2455135,"2009/10/30","Fri",84.034
2455138,"2009/11/02","Mon",84.317
2455139,"2009/11/03","Tue",84.388
2455140,"2009/11/04","Wed",85.397
2455141,"2009/11/05","Thu",84.890
2455142,"2009/11/06","Fri",83.822
2455145,"2009/11/09","Mon",85.106
2455146,"2009/11/10","Tue",85.397
2455148,"2009/11/12","Thu",85.984
2455149,"2009/11/13","Fri",85.251
2455152,"2009/11/16","Mon",85.397
2455153,"2009/11/17","Tue",84.388
2455154,"2009/11/18","Wed",85.106
2455155,"2009/11/19","Thu",83.612
2455156,"2009/11/20","Fri",83.126
2455159,"2009/11/23","Mon",84.460
2455160,"2009/11/24","Tue",83.472
2455161,"2009/11/25","Wed",83.472
2455162,"2009/11/26","Thu",81.633
2455163,"2009/11/27","Fri",81.766
2455166,"2009/11/30","Mon",81.433
2455167,"2009/12/01","Tue",83.056
2455168,"2009/12/02","Wed",83.264
2455169,"2009/12/03","Thu",83.682
2455170,"2009/12/04","Fri",85.470
"(C) 2009 Prof. Werner Antweiler, UBC"
