"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","GBP/CAD"
2455197,"2009/12/31","Thu",0.59109
2455201,"2010/01/04","Mon",0.59823
2455202,"2010/01/05","Tue",0.60230
2455203,"2010/01/06","Wed",0.60423
2455204,"2010/01/07","Thu",0.60720
2455205,"2010/01/08","Fri",0.60452
2455208,"2010/01/11","Mon",0.60035
2455209,"2010/01/12","Tue",0.59570
2455210,"2010/01/13","Wed",0.59485
2455211,"2010/01/14","Thu",0.59723
2455212,"2010/01/15","Fri",0.59862
2455215,"2010/01/18","Mon",0.59744
2455216,"2010/01/19","Tue",0.59154
2455217,"2010/01/20","Wed",0.58603
2455218,"2010/01/21","Thu",0.58823
2455219,"2010/01/22","Fri",0.58727
2455222,"2010/01/25","Mon",0.58207
2455223,"2010/01/26","Tue",0.58343
2455224,"2010/01/27","Wed",0.57911
2455225,"2010/01/28","Thu",0.58194
2455226,"2010/01/29","Fri",0.58654
2455229,"2010/02/01","Mon",0.58955
2455230,"2010/02/02","Tue",0.59049
2455231,"2010/02/03","Wed",0.59231
2455232,"2010/02/04","Thu",0.59109
2455233,"2010/02/05","Fri",0.59709
2455236,"2010/02/08","Mon",0.59766
2455237,"2010/02/09","Tue",0.59669
2455238,"2010/02/10","Wed",0.60053
2455239,"2010/02/11","Thu",0.60632
2455240,"2010/02/12","Fri",0.60606
2455243,"2010/02/15","Mon",0.60924
2455244,"2010/02/16","Tue",0.60972
2455245,"2010/02/17","Wed",0.60916
2455246,"2010/02/18","Thu",0.61406
2455247,"2010/02/19","Fri",0.62174
2455250,"2010/02/22","Mon",0.61965
2455251,"2010/02/23","Tue",0.61489
2455252,"2010/02/24","Wed",0.61425
2455253,"2010/02/25","Thu",0.61633
2455254,"2010/02/26","Fri",0.62344
2455257,"2010/03/01","Mon",0.64090
2455258,"2010/03/02","Tue",0.64826
2455259,"2010/03/03","Wed",0.64280
2455260,"2010/03/04","Thu",0.64541
2455261,"2010/03/05","Fri",0.64325
2455264,"2010/03/08","Mon",0.64554
2455265,"2010/03/09","Tue",0.65024
2455266,"2010/03/10","Wed",0.65189
2455267,"2010/03/11","Thu",0.64729
2455268,"2010/03/12","Fri",0.64637
2455271,"2010/03/15","Mon",0.65066
2455272,"2010/03/16","Tue",0.64859
2455273,"2010/03/17","Wed",0.64650
2455274,"2010/03/18","Thu",0.64687
2455275,"2010/03/19","Fri",0.65591
2455278,"2010/03/22","Mon",0.65100
2455279,"2010/03/23","Tue",0.65206
2455280,"2010/03/24","Wed",0.65308
2455281,"2010/03/25","Thu",0.65950
2455282,"2010/03/26","Fri",0.65232
2455285,"2010/03/29","Mon",0.65479
2455286,"2010/03/30","Tue",0.65045
2455287,"2010/03/31","Wed",0.64842
2455288,"2010/04/01","Thu",0.64918
2455292,"2010/04/05","Mon",0.65270
2455293,"2010/04/06","Tue",0.65660
2455294,"2010/04/07","Wed",0.65398
2455295,"2010/04/08","Thu",0.65351
2455296,"2010/04/09","Fri",0.64704
2455299,"2010/04/12","Mon",0.64973
2455300,"2010/04/13","Tue",0.64880
2455301,"2010/04/14","Wed",0.64838
2455302,"2010/04/15","Thu",0.64570
2455303,"2010/04/16","Fri",0.64016
2455306,"2010/04/19","Mon",0.64230
2455307,"2010/04/20","Tue",0.65138
2455308,"2010/04/21","Wed",0.65058
2455309,"2010/04/22","Thu",0.64994
2455310,"2010/04/23","Fri",0.64922
2455313,"2010/04/26","Mon",0.64604
2455314,"2010/04/27","Tue",0.64317
2455315,"2010/04/28","Wed",0.65151
2455316,"2010/04/29","Thu",0.64998
