"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","CHF/CAD"
2455197,"2009/12/31","Thu",0.98941
2455201,"2010/01/04","Mon",0.99216
2455202,"2010/01/05","Tue",0.99532
2455203,"2010/01/06","Wed",0.99512
2455204,"2010/01/07","Thu",0.99910
2455205,"2010/01/08","Fri",0.99542
2455208,"2010/01/11","Mon",0.98396
2455209,"2010/01/12","Tue",0.97924
2455210,"2010/01/13","Wed",0.98775
2455211,"2010/01/14","Thu",0.99483
2455212,"2010/01/15","Fri",0.99810
2455215,"2010/01/18","Mon",0.99910
2455216,"2010/01/19","Tue",1.00130
2455217,"2010/01/20","Wed",0.99770
2455218,"2010/01/21","Thu",0.99433
2455219,"2010/01/22","Fri",0.98454
2455222,"2010/01/25","Mon",0.98319
2455223,"2010/01/26","Tue",0.98513
2455224,"2010/01/27","Wed",0.98280
2455225,"2010/01/28","Thu",0.98853
2455226,"2010/01/29","Fri",0.99108
2455229,"2010/02/01","Mon",0.99384
2455230,"2010/02/02","Tue",0.99552
2455231,"2010/02/03","Wed",0.99840
2455232,"2010/02/04","Thu",0.99265
2455233,"2010/02/05","Fri",1.00503
2455236,"2010/02/08","Mon",1.00060
2455237,"2010/02/09","Tue",0.99522
2455238,"2010/02/10","Wed",1.00110
2455239,"2010/02/11","Thu",1.02155
2455240,"2010/02/12","Fri",1.02260
2455243,"2010/02/15","Mon",1.02807
2455244,"2010/02/16","Tue",1.02480
2455245,"2010/02/17","Wed",1.03018
2455246,"2010/02/18","Thu",1.03402
2455247,"2010/02/19","Fri",1.03885
2455250,"2010/02/22","Mon",1.03338
2455251,"2010/02/23","Tue",1.02870
2455252,"2010/02/24","Wed",1.02176
2455253,"2010/02/25","Thu",1.01719
2455254,"2010/02/26","Fri",1.01771
2455257,"2010/03/01","Mon",1.03907
2455258,"2010/03/02","Tue",1.04504
2455259,"2010/03/03","Wed",1.03563
2455260,"2010/03/04","Thu",1.04559
2455261,"2010/03/05","Fri",1.04537
2455264,"2010/03/08","Mon",1.04450
2455265,"2010/03/09","Tue",1.05009
2455266,"2010/03/10","Wed",1.04482
2455267,"2010/03/11","Thu",1.04145
2455268,"2010/03/12","Fri",1.04058
2455271,"2010/03/15","Mon",1.04102
2455272,"2010/03/16","Tue",1.04037
2455273,"2010/03/17","Wed",1.04341
2455274,"2010/03/18","Thu",1.04855
2455275,"2010/03/19","Fri",1.04526
2455278,"2010/03/22","Mon",1.03799
2455279,"2010/03/23","Tue",1.03778
2455280,"2010/03/24","Wed",1.04134
2455281,"2010/03/25","Thu",1.04998
2455282,"2010/03/26","Fri",1.03670
2455285,"2010/03/29","Mon",1.04243
2455286,"2010/03/30","Tue",1.04767
2455287,"2010/03/31","Wed",1.03670
2455288,"2010/04/01","Thu",1.04811
2455292,"2010/04/05","Mon",1.05932
2455293,"2010/04/06","Tue",1.07043
2455294,"2010/04/07","Wed",1.06860
2455295,"2010/04/08","Thu",1.07043
2455296,"2010/04/09","Fri",1.06157
2455299,"2010/04/12","Mon",1.05831
2455300,"2010/04/13","Tue",1.05296
2455301,"2010/04/14","Wed",1.05530
2455302,"2010/04/15","Thu",1.05809
2455303,"2010/04/16","Fri",1.04701
2455306,"2010/04/19","Mon",1.04395
2455307,"2010/04/20","Tue",1.06895
2455308,"2010/04/21","Wed",1.07262
2455309,"2010/04/22","Thu",1.07643
2455310,"2010/04/23","Fri",1.07158
2455313,"2010/04/26","Mon",1.07458
2455314,"2010/04/27","Tue",1.06530
2455315,"2010/04/28","Wed",1.07840
2455316,"2010/04/29","Thu",1.07689
2455317,"2010/04/30","Fri",1.06474
2455320,"2010/05/03","Mon",1.07250
2455321,"2010/05/04","Tue",1.07562
2455322,"2010/05/05","Wed",1.08331
2455323,"2010/05/06","Thu",1.06293
2455324,"2010/05/07","Fri",1.06281
2455327,"2010/05/10","Mon",1.08003
2455328,"2010/05/11","Tue",1.08495
2455329,"2010/05/12","Wed",1.08802
2455330,"2010/05/13","Thu",1.09830
2455331,"2010/05/14","Fri",1.09314
2455334,"2010/05/17","Mon",1.09493
2455335,"2010/05/18","Tue",1.09806
2455336,"2010/05/19","Wed",1.09999
2455337,"2010/05/20","Thu",1.07921
2455338,"2010/05/21","Fri",1.08684
2455342,"2010/05/25","Tue",1.07585
2455343,"2010/05/26","Wed",1.08944
2455344,"2010/05/27","Thu",1.09565
2455345,"2010/05/28","Fri",1.09866
2455348,"2010/05/31","Mon",1.10424
2455349,"2010/06/01","Tue",1.10217
2455350,"2010/06/02","Wed",1.11259
2455351,"2010/06/03","Thu",1.10791
2455352,"2010/06/04","Fri",1.10461
2455355,"2010/06/07","Mon",1.10193
2455356,"2010/06/08","Tue",1.09421
2455357,"2010/06/09","Wed",1.10217
2455358,"2010/06/10","Thu",1.10485
2455359,"2010/06/11","Fri",1.11532
2455362,"2010/06/14","Mon",1.10988
2455363,"2010/06/15","Tue",1.09938
2455364,"2010/06/16","Wed",1.10096
2455365,"2010/06/17","Thu",1.08307
2455366,"2010/06/18","Fri",1.08507
2455369,"2010/06/21","Mon",1.08660
2455370,"2010/06/22","Tue",1.08295
2455371,"2010/06/23","Wed",1.06281
2455372,"2010/06/24","Thu",1.05496
2455373,"2010/06/25","Fri",1.05474
2455376,"2010/06/28","Mon",1.05064
2455377,"2010/06/29","Tue",1.02680
2455378,"2010/06/30","Wed",1.01595
2455380,"2010/07/02","Fri",0.99880
2455383,"2010/07/05","Mon",0.99860
2455384,"2010/07/06","Tue",1.00857
2455385,"2010/07/07","Wed",1.00180
2455386,"2010/07/08","Thu",1.00685
2455387,"2010/07/09","Fri",1.02417
2455390,"2010/07/12","Mon",1.02344
2455391,"2010/07/13","Tue",1.02344
2455392,"2010/07/14","Wed",1.02438
2455393,"2010/07/15","Thu",1.00200
2455394,"2010/07/16","Fri",0.99870
2455397,"2010/07/19","Mon",0.99671
2455398,"2010/07/20","Tue",0.99592
2455399,"2010/07/21","Wed",1.00918
2455400,"2010/07/22","Thu",1.00281
2455401,"2010/07/23","Fri",1.01513
2455404,"2010/07/26","Mon",1.01647
2455405,"2010/07/27","Tue",1.02554
2455406,"2010/07/28","Wed",1.02166
2455407,"2010/07/29","Thu",1.00412
2455408,"2010/07/30","Fri",1.01184
2455412,"2010/08/03","Tue",1.01574
2455413,"2010/08/04","Wed",1.03274
2455414,"2010/08/05","Thu",1.03135
2455415,"2010/08/06","Fri",1.00918
2455418,"2010/08/09","Mon",1.01885
2455419,"2010/08/10","Tue",1.02208
2455420,"2010/08/11","Wed",1.01225
2455421,"2010/08/12","Thu",1.00492
2455422,"2010/08/13","Fri",1.01225
2455425,"2010/08/16","Mon",0.99483
2455426,"2010/08/17","Tue",1.01194
2455427,"2010/08/18","Wed",1.01122
2455428,"2010/08/19","Thu",0.99167
2455429,"2010/08/20","Fri",0.98785
2455432,"2010/08/23","Mon",0.98853
2455433,"2010/08/24","Tue",0.97589
2455434,"2010/08/25","Wed",0.96544
2455435,"2010/08/26","Thu",0.97220
2455436,"2010/08/27","Fri",0.97399
2455439,"2010/08/30","Mon",0.96984
2455440,"2010/08/31","Tue",0.95420
2455441,"2010/09/01","Wed",0.96702
2455442,"2010/09/02","Thu",0.96200
2455443,"2010/09/03","Fri",0.97733
2455447,"2010/09/07","Tue",0.97021
2455448,"2010/09/08","Wed",0.97580
2455449,"2010/09/09","Thu",0.98280
2455450,"2010/09/10","Fri",0.98242
2455453,"2010/09/13","Mon",0.98068
2455454,"2010/09/14","Tue",0.97238
2455455,"2010/09/15","Wed",0.97580
2455456,"2010/09/16","Thu",0.98726
2455457,"2010/09/17","Fri",0.97723
2455460,"2010/09/20","Mon",0.97771
2455461,"2010/09/21","Tue",0.97324
2455462,"2010/09/22","Wed",0.95538
2455463,"2010/09/23","Thu",0.95511
2455464,"2010/09/24","Fri",0.95785
2455467,"2010/09/27","Mon",0.95840
2455468,"2010/09/28","Tue",0.94670
2455469,"2010/09/29","Wed",0.94706
2455470,"2010/09/30","Thu",0.95265
2455471,"2010/10/01","Fri",0.95557
2455474,"2010/10/04","Mon",0.95057
2455475,"2010/10/05","Tue",0.95084
2455476,"2010/10/06","Wed",0.95356
2455477,"2010/10/07","Thu",0.95102
2455478,"2010/10/08","Fri",0.94832
2455482,"2010/10/12","Tue",0.94940
2455483,"2010/10/13","Wed",0.95611
2455484,"2010/10/14","Thu",0.94976
2455485,"2010/10/15","Fri",0.94616
2455488,"2010/10/18","Mon",0.94189
2455489,"2010/10/19","Tue",0.94268
2455490,"2010/10/20","Wed",0.93897
2455491,"2010/10/21","Thu",0.94242
2455492,"2010/10/22","Fri",0.95429
2455495,"2010/10/25","Mon",0.95238
2455496,"2010/10/26","Tue",0.96135
2455497,"2010/10/27","Wed",0.95877
2455498,"2010/10/28","Thu",0.96404
2455499,"2010/10/29","Fri",0.96693
2455502,"2010/11/01","Mon",0.98039
2455503,"2010/11/02","Tue",0.96862
2455504,"2010/11/03","Wed",0.97050
2455505,"2010/11/04","Thu",0.96052
2455506,"2010/11/05","Fri",0.95685
2455509,"2010/11/08","Mon",0.96237
2455510,"2010/11/09","Tue",0.96348
2455511,"2010/11/10","Wed",0.97267
2455513,"2010/11/12","Fri",0.96824
2455516,"2010/11/15","Mon",0.97752
2455517,"2010/11/16","Tue",0.97003
2455518,"2010/11/17","Wed",0.96937
2455519,"2010/11/18","Thu",0.97991
2455520,"2010/11/19","Fri",0.97771
2455523,"2010/11/22","Mon",0.97352
2455524,"2010/11/23","Tue",0.97144
2455525,"2010/11/24","Wed",0.98328
2455526,"2010/11/25","Thu",0.99088
2455527,"2010/11/26","Fri",0.98299
2455530,"2010/11/29","Mon",0.97914
2455531,"2010/11/30","Tue",0.97295
2455532,"2010/12/01","Wed",0.98406
2455533,"2010/12/02","Thu",0.98571
2455534,"2010/12/03","Fri",0.97059
2455537,"2010/12/06","Mon",0.97924
2455538,"2010/12/07","Tue",0.97390
2455539,"2010/12/08","Wed",0.97799
2455540,"2010/12/09","Thu",0.97513
2455541,"2010/12/10","Fri",0.97069
2455544,"2010/12/13","Mon",0.96256
2455545,"2010/12/14","Tue",0.95721
2455546,"2010/12/15","Wed",0.95877
2455547,"2010/12/16","Thu",0.96061
2455548,"2010/12/17","Fri",0.95896
2455551,"2010/12/20","Mon",0.94697
2455552,"2010/12/21","Tue",0.94206
2455553,"2010/12/22","Wed",0.93651
2455554,"2010/12/23","Thu",0.95311
2455555,"2010/12/24","Fri",0.95611
2455560,"2010/12/29","Wed",0.94940
2455561,"2010/12/30","Thu",0.93624
2455562,"2010/12/31","Fri",0.93941
2455566,"2011/01/04","Tue",0.94940
2455567,"2011/01/05","Wed",0.96965
2455568,"2011/01/06","Thu",0.96759
2455569,"2011/01/07","Fri",0.97163
