"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","EUR/CAD"
2456321,"2013/01/28","Mon",0.73795
2456322,"2013/01/29","Tue",0.73948
2456323,"2013/01/30","Wed",0.73481
2456324,"2013/01/31","Thu",0.73676
2456325,"2013/02/01","Fri",0.73137
"(C) 2013 Prof. Werner Antweiler, UBC"
