"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","AUD/CAD"
2455743,"2011/06/30","Thu",0.96637
2455747,"2011/07/04","Mon",0.97059
2455748,"2011/07/05","Tue",0.97295
2455749,"2011/07/06","Wed",0.96824
2455750,"2011/07/07","Thu",0.96918
2455751,"2011/07/08","Fri",0.96843
2455754,"2011/07/11","Mon",0.97040
2455755,"2011/07/12","Tue",0.97352
2455756,"2011/07/13","Wed",0.96965
2455757,"2011/07/14","Thu",0.97144
2455758,"2011/07/15","Fri",0.98425
2455761,"2011/07/18","Mon",0.98454
2455762,"2011/07/19","Tue",0.98328
2455763,"2011/07/20","Wed",0.98348
2455764,"2011/07/21","Thu",0.97647
2455765,"2011/07/22","Fri",0.96993
2455768,"2011/07/25","Mon",0.97513
2455769,"2011/07/26","Tue",0.96730
2455770,"2011/07/27","Wed",0.95740
2455771,"2011/07/28","Thu",0.95639
2455772,"2011/07/29","Fri",0.95320
2455776,"2011/08/02","Tue",0.96302
2455777,"2011/08/03","Wed",0.96833
2455778,"2011/08/04","Thu",0.97381
2455779,"2011/08/05","Fri",0.97895
"(C) 2011 Prof. Werner Antweiler, UBC"
