"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","AUD/CAD"
2455075,"2009/08/31","Mon",1.0807
2455076,"2009/09/01","Tue",1.0911
2455077,"2009/09/02","Wed",1.0860
2455078,"2009/09/03","Thu",1.0783
2455079,"2009/09/04","Fri",1.0825
2455083,"2009/09/08","Tue",1.0758
2455084,"2009/09/09","Wed",1.0733
2455085,"2009/09/10","Thu",1.0764
2455086,"2009/09/11","Fri",1.0761
2455089,"2009/09/14","Mon",1.0707
2455090,"2009/09/15","Tue",1.0801
2455091,"2009/09/16","Wed",1.0749
2455092,"2009/09/17","Thu",1.0793
2455093,"2009/09/18","Fri",1.0760
2455096,"2009/09/21","Mon",1.0747
2455097,"2009/09/22","Tue",1.0716
2455098,"2009/09/23","Wed",1.0692
2455099,"2009/09/24","Thu",1.0594
2455100,"2009/09/25","Fri",1.0588
2455103,"2009/09/28","Mon",1.0544
2455104,"2009/09/29","Tue",1.0573
2455105,"2009/09/30","Wed",1.0570
2455106,"2009/10/01","Thu",1.0632
"(C) 2009 Prof. Werner Antweiler, UBC"
