"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","CHF/CAD"
2455743,"2011/06/30","Thu",0.87252
2455747,"2011/07/04","Mon",0.88409
2455748,"2011/07/05","Tue",0.87982
2455749,"2011/07/06","Wed",0.86919
2455750,"2011/07/07","Thu",0.88059
2455751,"2011/07/08","Fri",0.87009
2455754,"2011/07/11","Mon",0.86408
2455755,"2011/07/12","Tue",0.86222
2455756,"2011/07/13","Wed",0.85734
2455757,"2011/07/14","Thu",0.85215
2455758,"2011/07/15","Fri",0.85558
2455761,"2011/07/18","Mon",0.85063
2455762,"2011/07/19","Tue",0.85903
2455763,"2011/07/20","Wed",0.86558
2455764,"2011/07/21","Thu",0.86483
2455765,"2011/07/22","Fri",0.85962
2455768,"2011/07/25","Mon",0.85339
2455769,"2011/07/26","Tue",0.84969
2455770,"2011/07/27","Wed",0.84688
2455771,"2011/07/28","Thu",0.84846
2455772,"2011/07/29","Fri",0.82624
2455776,"2011/08/02","Tue",0.80515
2455777,"2011/08/03","Wed",0.79510
2455778,"2011/08/04","Thu",0.78573
2455779,"2011/08/05","Fri",0.77226
"(C) 2011 Prof. Werner Antweiler, UBC"
