"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","USD/CAD"
2455118,"2009/10/13","Tue",0.97106
2455119,"2009/10/14","Wed",0.97163
2455120,"2009/10/15","Thu",0.97059
2455121,"2009/10/16","Fri",0.96256
2455124,"2009/10/19","Mon",0.97012
2455125,"2009/10/20","Tue",0.95238
2455126,"2009/10/21","Wed",0.96043
2455127,"2009/10/22","Thu",0.95374
2455128,"2009/10/23","Fri",0.95166
2455131,"2009/10/26","Mon",0.94197
2455132,"2009/10/27","Tue",0.93914
2455133,"2009/10/28","Wed",0.92971
2455134,"2009/10/29","Thu",0.93414
2455135,"2009/10/30","Fri",0.92816
2455138,"2009/11/02","Mon",0.93084
2455139,"2009/11/03","Tue",0.93423
2455140,"2009/11/04","Wed",0.93923
2455141,"2009/11/05","Thu",0.93888
2455142,"2009/11/06","Fri",0.93284
2455145,"2009/11/09","Mon",0.94643
2455146,"2009/11/10","Tue",0.95075
2455148,"2009/11/12","Thu",0.95066
2455149,"2009/11/13","Fri",0.95166
2455152,"2009/11/16","Mon",0.95602
2455153,"2009/11/17","Tue",0.94411
2455154,"2009/11/18","Wed",0.95238
2455155,"2009/11/19","Thu",0.94003
2455156,"2009/11/20","Fri",0.93493
2455159,"2009/11/23","Mon",0.94778
2455160,"2009/11/24","Tue",0.94268
2455161,"2009/11/25","Wed",0.95229
2455162,"2009/11/26","Thu",0.94384
2455163,"2009/11/27","Fri",0.94127
2455166,"2009/11/30","Mon",0.94572
2455167,"2009/12/01","Tue",0.95859
2455168,"2009/12/02","Wed",0.95529
2455169,"2009/12/03","Thu",0.94859
2455170,"2009/12/04","Fri",0.95084
"(C) 2009 Prof. Werner Antweiler, UBC"
