"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","EUR/CAD"
2455733,"2011/06/20","Mon",0.71373
2455734,"2011/06/21","Tue",0.71418
2455735,"2011/06/22","Wed",0.71383
2455736,"2011/06/23","Thu",0.72046
2455737,"2011/06/24","Fri",0.71562
"(C) 2011 Prof. Werner Antweiler, UBC"
