"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","JPY/CAD"
2455743,"2011/06/30","Thu",83.612
2455747,"2011/07/04","Mon",84.175
2455748,"2011/07/05","Tue",84.460
2455749,"2011/07/06","Wed",83.752
2455750,"2011/07/07","Thu",84.746
2455751,"2011/07/08","Fri",83.752
2455754,"2011/07/11","Mon",83.195
2455755,"2011/07/12","Tue",82.237
2455756,"2011/07/13","Wed",82.440
2455757,"2011/07/14","Thu",82.576
2455758,"2011/07/15","Fri",82.919
2455761,"2011/07/18","Mon",82.237
2455762,"2011/07/19","Tue",82.988
2455763,"2011/07/20","Wed",83.056
2455764,"2011/07/21","Thu",83.056
2455765,"2011/07/22","Fri",82.576
2455768,"2011/07/25","Mon",82.850
2455769,"2011/07/26","Tue",82.576
2455770,"2011/07/27","Wed",82.305
2455771,"2011/07/28","Thu",82.102
2455772,"2011/07/29","Fri",80.906
2455776,"2011/08/02","Tue",80.515
2455777,"2011/08/03","Wed",79.808
2455778,"2011/08/04","Thu",80.906
2455779,"2011/08/05","Fri",79.745
"(C) 2011 Prof. Werner Antweiler, UBC"
