"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","USD/CAD"
2455075,"2009/08/31","Mon",0.91183
2455076,"2009/09/01","Tue",0.90654
2455077,"2009/09/02","Wed",0.90375
2455078,"2009/09/03","Thu",0.90629
2455079,"2009/09/04","Fri",0.91836
2455083,"2009/09/08","Tue",0.92902
2455084,"2009/09/09","Wed",0.92704
2455085,"2009/09/10","Thu",0.92490
2455086,"2009/09/11","Fri",0.93058
2455089,"2009/09/14","Mon",0.92107
2455090,"2009/09/15","Tue",0.92911
2455091,"2009/09/16","Wed",0.93782
2455092,"2009/09/17","Thu",0.94224
2455093,"2009/09/18","Fri",0.93249
2455096,"2009/09/21","Mon",0.92790
2455097,"2009/09/22","Tue",0.93607
2455098,"2009/09/23","Wed",0.93249
2455099,"2009/09/24","Thu",0.92005
2455100,"2009/09/25","Fri",0.91617
2455103,"2009/09/28","Mon",0.92073
2455104,"2009/09/29","Tue",0.91988
2455105,"2009/09/30","Wed",0.93266
2455106,"2009/10/01","Thu",0.92816
"(C) 2009 Prof. Werner Antweiler, UBC"
