"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","EUR/CAD"
2455859,"2011/10/24","Mon",0.71500
2455860,"2011/10/25","Tue",0.70867
2455861,"2011/10/26","Wed",0.71541
2455862,"2011/10/27","Thu",0.70977
2455863,"2011/10/28","Fri",0.70907
"(C) 2011 Prof. Werner Antweiler, UBC"
