"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","EUR/CAD"
2455866,"2011/10/31","Mon",0.72171
2455867,"2011/11/01","Tue",0.71705
2455868,"2011/11/02","Wed",0.71556
2455869,"2011/11/03","Thu",0.71844
2455870,"2011/11/04","Fri",0.71393
"(C) 2011 Prof. Werner Antweiler, UBC"
