"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","GBP/CAD"
2455743,"2011/06/30","Thu",0.64545
2455747,"2011/07/04","Mon",0.64750
2455748,"2011/07/05","Tue",0.64708
2455749,"2011/07/06","Wed",0.64729
2455750,"2011/07/07","Thu",0.65338
2455751,"2011/07/08","Fri",0.64805
2455754,"2011/07/11","Mon",0.64939
2455755,"2011/07/12","Tue",0.64897
2455756,"2011/07/13","Wed",0.64779
2455757,"2011/07/14","Thu",0.64704
2455758,"2011/07/15","Fri",0.64943
2455761,"2011/07/18","Mon",0.64910
2455762,"2011/07/19","Tue",0.65202
2455763,"2011/07/20","Wed",0.65372
2455764,"2011/07/21","Thu",0.64914
2455765,"2011/07/22","Fri",0.64495
2455768,"2011/07/25","Mon",0.64990
2455769,"2011/07/26","Tue",0.64566
2455770,"2011/07/27","Wed",0.64533
2455771,"2011/07/28","Thu",0.64541
2455772,"2011/07/29","Fri",0.63719
2455776,"2011/08/02","Tue",0.64094
2455777,"2011/08/03","Wed",0.63271
2455778,"2011/08/04","Thu",0.62787
2455779,"2011/08/05","Fri",0.62092
"(C) 2011 Prof. Werner Antweiler, UBC"
